market,column,column_zh,missing_count,missing_ratio,non_missing_count,dtype
A股,ts_code,证券代码,0,0.0,237,object
A股,trade_date,交易日期,0,0.0,237,datetime64[ns]
A股,open,开盘价,0,0.0,237,float64
A股,high,最高价,0,0.0,237,float64
A股,low,最低价,0,0.0,237,float64
A股,close,收盘价,0,0.0,237,float64
A股,pre_close,前收盘价,0,0.0,237,float64
A股,change,涨跌额,0,0.0,237,float64
A股,pct_chg,日涨跌幅(%),0,0.0,237,float64
A股,vol,成交量,0,0.0,237,float64
A股,amount,成交额,0,0.0,237,float64
A股,adj_factor,A股复权因子,0,0.0,237,int64
A股,qfq_factor,前复权调整比例,0,0.0,237,int64
A股,raw_open,原始开盘价,0,0.0,237,float64
A股,raw_high,原始最高价,0,0.0,237,float64
A股,raw_low,原始最低价,0,0.0,237,float64
A股,raw_close,原始收盘价,0,0.0,237,float64
A股,raw_pre_close,原始前收盘价,0,0.0,237,float64
A股,log_return,对数收益率,0,0.0,237,float64
A股,amplitude_pct,日内振幅(%),0,0.0,237,float64
A股,intraday_return_pct,日内收益率(%),0,0.0,237,float64
A股,gap_pct,开盘跳空幅度(%),0,0.0,237,float64
A股,upper_shadow_pct,上影线比例(%),0,0.0,237,float64
A股,lower_shadow_pct,下影线比例(%),0,0.0,237,float64
A股,vwap_proxy,近似成交均价,0,0.0,237,float64
A股,close_ma5,5日收盘均价,4,0.016877637130801686,233,float64
A股,close_ma20,20日收盘均价,19,0.08016877637130802,218,float64
A股,close_ma5_gap_pct,收盘价相对5日均线偏离(%),4,0.016877637130801686,233,float64
A股,close_ma20_gap_pct,收盘价相对20日均线偏离(%),19,0.08016877637130802,218,float64
A股,pct_chg_5d,5日收益率(%),5,0.02109704641350211,232,float64
A股,pct_chg_20d,20日收益率(%),20,0.08438818565400844,217,float64
A股,volatility_20d,20日滚动波动率,19,0.08016877637130802,218,float64
A股,amount_ma20,20日平均成交额,19,0.08016877637130802,218,float64
A股,amount_ma20_ratio,成交额相对20日均值倍数,19,0.08016877637130802,218,float64
港股,ts_code,证券代码,0,0.0,246,object
港股,trade_date,交易日期,0,0.0,246,datetime64[ns]
港股,open,开盘价,0,0.0,246,float64
港股,high,最高价,0,0.0,246,float64
港股,low,最低价,0,0.0,246,float64
港股,close,收盘价,0,0.0,246,float64
港股,pre_close,前收盘价,0,0.0,246,float64
港股,change,涨跌额,0,0.0,246,float64
港股,pct_chg,日涨跌幅(%),0,0.0,246,float64
港股,vol,成交量,0,0.0,246,float64
港股,amount,成交额,0,0.0,246,float64
港股,cum_adjfactor,港股累计复权因子,0,0.0,246,int64
港股,qfq_factor,前复权调整比例,0,0.0,246,int64
港股,raw_open,原始开盘价,0,0.0,246,float64
港股,raw_high,原始最高价,0,0.0,246,float64
港股,raw_low,原始最低价,0,0.0,246,float64
港股,raw_close,原始收盘价,0,0.0,246,float64
港股,raw_pre_close,原始前收盘价,0,0.0,246,float64
港股,log_return,对数收益率,0,0.0,246,float64
港股,amplitude_pct,日内振幅(%),0,0.0,246,float64
港股,intraday_return_pct,日内收益率(%),0,0.0,246,float64
港股,gap_pct,开盘跳空幅度(%),0,0.0,246,float64
港股,upper_shadow_pct,上影线比例(%),0,0.0,246,float64
港股,lower_shadow_pct,下影线比例(%),0,0.0,246,float64
港股,vwap_proxy,近似成交均价,0,0.0,246,float64
港股,close_ma5,5日收盘均价,4,0.016260162601626018,242,float64
港股,close_ma20,20日收盘均价,19,0.07723577235772358,227,float64
港股,close_ma5_gap_pct,收盘价相对5日均线偏离(%),4,0.016260162601626018,242,float64
港股,close_ma20_gap_pct,收盘价相对20日均线偏离(%),19,0.07723577235772358,227,float64
港股,pct_chg_5d,5日收益率(%),5,0.02032520325203252,241,float64
港股,pct_chg_20d,20日收益率(%),20,0.08130081300813008,226,float64
港股,volatility_20d,20日滚动波动率,19,0.07723577235772358,227,float64
港股,amount_ma20,20日平均成交额,19,0.07723577235772358,227,float64
港股,amount_ma20_ratio,成交额相对20日均值倍数,19,0.07723577235772358,227,float64
